# {"t_start": 1600396399.741331, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,893.901627
-50.0,50,896.88512
-50.0,50,905.262314
-50.0,50,913.463665
-50.0,50,916.409458
-50.0,50,919.402781
-50.0,50,922.311489
-50.0,50,925.089645
-50.0,50,932.857847
-50.0,50,935.653629
-50.0,50,943.819849
-50.0,50,951.946583
-50.0,50,954.978904
-50.0,50,957.756603
-50.0,50,960.531667
-50.0,50,963.429774
-50.0,50,966.361744
-28.0,50,974.31153
-50.0,50,982.184937
-50.0,50,985.002397
-50.0,50,987.935926
-50.0,50,990.778159
-50.0,50,993.749388
-50.0,50,1001.929384
-50.0,50,1004.748939
-50.0,50,1007.690824
-50.0,50,1015.672092
-50.0,50,1018.563404
-50.0,50,1026.919169
-50.0,50,1029.801574
-50.0,50,1032.809079
-50.0,50,1040.843688
-50.0,50,1043.803978
-50.0,50,1051.636452
-50.0,50,1054.596326
-50.0,50,1057.492414
-50.0,50,1060.390825
-50.0,50,1063.250906
-50.0,50,1066.13213
-50.0,50,1069.128556
-50.0,50,1072.015852
-50.0,50,1075.202837
-50.0,50,1078.326996
-50.0,50,1081.2361
-50.0,50,1084.125095
-50.0,50,1087.016368
-50.0,50,1089.865571
-50.0,50,1092.766439
-50.0,50,1101.196128
-50.0,50,1104.130202
0.0,50,1112.025221
-50.0,50,1114.838267
-50.0,50,1123.450086
0.0,50,1126.468257
-50.0,50,1129.292824
-5.0,50,1132.373713
-50.0,50,1135.571206
-50.0,50,1138.723338
-50.0,50,1138.883848
-50.0,50,1139.031699
-50.0,50,1139.189073
-50.0,50,1139.35194
-50.0,50,1139.521711
-50.0,50,1139.771776
-50.0,50,1139.914758
-50.0,50,1140.071646
-50.0,50,1140.20698
-50.0,50,1140.367421
-50.0,50,1143.586514
-50.0,50,1146.53974
-50.0,50,1154.453584
-50.0,50,1162.646763
-50.0,50,1165.518025
-50.0,50,1168.362075
-50.0,50,1176.126226
-50.0,50,1183.873846
-50.0,50,1186.759821
-50.0,50,1194.861178
-50.0,50,1197.798716
-50.0,50,1200.691589
-50.0,50,1208.370012
-50.0,50,1216.162271
-50.0,50,1218.973172
-16.0,50,1221.969747
-50.0,50,1230.329649
-50.0,50,1238.588397
-9.0,50,1247.152828
-50.0,50,1255.859041
-50.0,50,1264.373578
-41.0,50,1267.370913
-35.0,50,1275.519676
-50.0,50,1283.448194
-50.0,50,1292.171966
-14.0,50,1300.116631
-50.0,50,1308.388556
-50.0,50,1311.340519
-50.0,50,1314.256366
-50.0,50,1317.189081
-50.0,50,1320.058911
-50.0,50,1322.928727
-50.0,50,1325.840026
-50.0,50,1328.725286
-50.0,50,1331.674385
-50.0,50,1339.962887
-1.0,50,1348.163421
-49.0,50,1356.100563
-38.0,50,1364.018525
-50.0,50,1372.649431
-50.0,50,1380.564824
-50.0,50,1383.536272
-24.0,50,1386.452186
-50.0,50,1394.379497
-50.0,50,1397.394006
-50.0,50,1400.391018
-50.0,50,1403.350695
-50.0,50,1406.30497
-50.0,50,1414.396004
-50.0,50,1422.435443
-50.0,50,1425.401492
-50.0,50,1433.404899
-50.0,50,1436.447667
-45.0,50,1444.772265
-49.0,50,1452.747559
-50.0,50,1460.767883
-50.0,50,1463.672763
-50.0,50,1471.766064
0.0,50,1474.774217
-50.0,50,1477.748456
-50.0,50,1480.755533
-50.0,50,1483.655072
-42.0,50,1486.651172
-50.0,50,1495.653112
-50.0,50,1498.727197
-50.0,50,1507.567949
-50.0,50,1510.619866
-50.0,50,1513.695873
-50.0,50,1522.192268
-50.0,50,1525.291513
-50.0,50,1528.315181
-50.0,50,1531.520587
-50.0,50,1534.586685
-50.0,50,1537.704223
-50.0,50,1540.851516
-11.0,50,1549.377384
-49.0,50,1557.967855
-50.0,50,1566.456497
-50.0,50,1569.870876
-50.0,50,1573.224836
-47.0,50,1576.397394
-50.0,50,1585.074704
-50.0,50,1593.808383
-50.0,50,1602.198108
-50.0,50,1605.450559
-50.0,50,1608.7472
-50.0,50,1617.442864
-50.0,50,1626.254627
-50.0,50,1629.482559
-50.0,50,1632.704495
-50.0,50,1641.271978
-50.0,50,1650.147378
-48.0,50,1658.679109
-50.0,50,1667.119779
-50.0,50,1670.226861
-50.0,50,1673.450818
-50.0,50,1682.136926
-50.0,50,1685.337367
-50.0,50,1688.782994
-50.0,50,1692.138365
-50.0,50,1692.305394
-50.0,50,1692.459574
-50.0,50,1692.60998
-50.0,50,1692.770338
-50.0,50,1692.923054
-50.0,50,1693.058104
-47.0,50,1693.228382
-50.0,50,1693.396766
-21.0,50,1693.553735
-50.0,50,1693.718073
-50.0,50,1702.341359
-50.0,50,1705.588209
-7.0,50,1708.726747
-50.0,50,1717.972109
-50.0,50,1721.225837
-50.0,50,1724.408381
-11.0,50,1733.966582
-50.0,50,1742.537389
-50.0,50,1751.03451
-50.0,50,1759.343937
-50.0,50,1762.379279
-50.0,50,1765.48458
-47.0,50,1773.338666
-44.0,50,1781.025625
-50.0,50,1789.438824
-50.0,50,1792.253181
-50.0,50,1795.101061
-50.0,50,1802.378513
-50.0,50,1809.635315
-50.0,50,1812.728295
-50.0,50,1820.69175
-50.0,50,1828.199171
-50.0,50,1831.152238
-50.0,50,1834.047509
-16.0,50,1836.972452
-50.0,50,1844.561005
-50.0,50,1852.226783
-50.0,50,1859.776487
-50.0,50,1862.694049
-50.0,50,1870.325034
-50.0,50,1873.239968
-50.0,50,1876.166379
-50.0,50,1883.988407
-50.0,50,1891.461148
-50.0,50,1894.556809
-50.0,50,1897.465571
-50.0,50,1900.402521
-50.0,50,1908.576473
-50.0,50,1911.77696
-50.0,50,1914.845858
-50.0,50,1922.559702
-50.0,50,1925.63774
-50.0,50,1928.724322
-50.0,50,1931.738861
-45.0,50,1935.040425
-50.0,50,1942.644768
0.0,50,1950.598855
-50.0,50,1953.72891
-50.0,50,1956.807538
-50.0,50,1959.940084
-50.0,50,1962.957574
-50.0,50,1971.137953
-50.0,50,1980.048388
-50.0,50,1983.337417
-12.0,50,1991.721799
-23.0,50,2000.187951
-50.0,50,2008.626394
-50.0,50,2016.888721
-50.0,50,2020.123372
-50.0,50,2023.339221
-50.0,50,2026.555336
-50.0,50,2029.639615
-35.0,50,2032.890306
-50.0,50,2040.787974
-50.0,50,2044.140662
-50.0,50,2052.340371
-49.0,50,2060.915298
-50.0,50,2069.549533
-50.0,50,2073.091543
-24.0,50,2081.572623
-50.0,50,2090.255497
-50.0,50,2099.036045
0.0,50,2102.329132
-50.0,50,2105.639153
-50.0,50,2108.946623
-25.0,50,2117.799118
-48.0,50,2126.6258
-50.0,50,2134.642478
-50.0,50,2142.433653
-50.0,50,2150.398327
-50.0,50,2153.57575
-50.0,50,2161.368056
-48.0,50,2164.63528
-50.0,50,2172.920617
-50.0,50,2181.184624
-50.0,50,2188.945566
-48.0,50,2196.624998
-35.0,50,2204.231585
-26.0,50,2212.225127
0.0,50,2220.787918
-50.0,50,2223.990493
0.0,50,2227.337229
-48.0,50,2230.932249
-50.0,50,2238.905175
-50.0,50,2246.956342
-50.0,50,2250.175097
-50.0,50,2257.648926
-10.0,50,2260.597754
-48.0,50,2267.879665
-21.0,50,2275.116176
-29.0,50,2275.259611
-50.0,50,2275.380386
-13.0,50,2275.501451
-50.0,50,2275.62791
-50.0,50,2275.747324
-50.0,50,2275.865413
-50.0,50,2275.990558
-50.0,50,2276.108598
-36.0,50,2276.246123
-23.0,50,2276.375317
-50.0,50,2283.591427
-49.0,50,2290.92398
-50.0,50,2297.987836
-50.0,50,2300.9823
-10.0,50,2303.927161
-50.0,50,2311.062871
-50.0,50,2313.984729
-48.0,50,2321.200969
-50.0,50,2328.344195
-50.0,50,2331.296077
-50.0,50,2338.419638
-50.0,50,2345.591653
-27.0,50,2348.560138
-50.0,50,2356.130948
0.0,50,2359.104534
-50.0,50,2362.429875
-41.0,50,2369.808703
-50.0,50,2377.352699
-50.0,50,2380.347416
-50.0,50,2387.985878
-23.0,50,2391.289016
-50.0,50,2399.168529
-50.0,50,2402.342199
-50.0,50,2405.47936
-50.0,50,2408.625782
-26.0,50,2411.762802
-39.0,50,2419.511008
-50.0,50,2427.525002
-22.0,50,2430.721617
-50.0,50,2438.613276
0.0,50,2441.741497
-50.0,50,2444.956946
-50.0,50,2448.079646
-50.0,50,2451.155824
-50.0,50,2459.253343
-37.0,50,2467.106873
-50.0,50,2475.271052
-50.0,50,2478.420429
-50.0,50,2481.657383
-50.0,50,2484.814746
-39.0,50,2492.48029
-50.0,50,2500.324202
-50.0,50,2507.993989
-50.0,50,2515.719081
-50.0,50,2519.008921
-50.0,50,2522.330746
-49.0,50,2530.296769
-49.0,50,2538.433048
-50.0,50,2546.279566
-50.0,50,2554.179963
-50.0,50,2562.141784
-5.0,50,2569.920529
-50.0,50,2573.003441
-50.0,50,2576.181813
-50.0,50,2579.321383
0.0,50,2582.478217
-16.0,50,2585.610985
-50.0,50,2593.309194
-50.0,50,2596.479993
-11.0,50,2599.678186
-50.0,50,2607.420672
-50.0,50,2615.07808
-36.0,50,2622.741215
-16.0,50,2630.519994
-47.0,50,2638.132215
-49.0,50,2645.823322
-20.0,50,2653.442009
-50.0,50,2661.4986
-50.0,50,2668.978904
-50.0,50,2672.14752
-50.0,50,2675.313298
-44.0,50,2678.514612
-50.0,50,2686.360771
-50.0,50,2694.215256
-50.0,50,2702.575531
-50.0,50,2705.929804
-50.0,50,2713.927898
-50.0,50,2721.912239
-50.0,50,2729.597875
-48.0,50,2732.755491
-50.0,50,2740.374566
0.0,50,2743.510555
-50.0,50,2746.688231
-50.0,50,2749.901054
-50.0,50,2753.097475
-50.0,50,2760.705457
-45.0,50,2763.874938
-16.0,50,2771.712701
-50.0,50,2779.459053
-32.0,50,2787.110884
-29.0,50,2794.762766
-50.0,50,2802.616935
-50.0,50,2810.344495
-50.0,50,2813.485916
