epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
63,0.8303573,0.17024256,0.20196572,0.25242567,640.0,-4.0894375,0.9,6400.0,0.47
64,0.8300112,0.1710471,0.2018802,0.25276732,650.0,-1.923413,0.7,6500.0,0.34
65,0.8297213,0.17198835,0.20181336,0.252999,660.0,-2.120819,0.8,6600.0,0.42
66,0.82937336,0.17268668,0.20172256,0.2532761,670.0,-1.0133656,1.0,6700.0,0.37
67,0.82896715,0.17374475,0.20159306,0.25352788,680.0,-1.5579288,0.9,6800.0,0.4
68,0.8286713,0.17457487,0.20150913,0.25378314,690.0,-1.6069769,0.9,6900.0,0.43
69,0.8283734,0.17550242,0.20141125,0.25392994,700.0,-1.473539,1.0,7000.0,0.35
70,0.82810944,0.17623504,0.20131132,0.25412717,710.0,-2.0040941,0.9,7100.0,0.4
71,0.82784814,0.17683308,0.20121883,0.2542415,720.0,-0.90091246,0.9,7200.0,0.41
72,0.82753736,0.1776703,0.20113993,0.25444221,730.0,-0.7779206,1.0,7300.0,0.41
73,0.8272558,0.17837094,0.20106876,0.254686,740.0,-1.487766,1.0,7400.0,0.47
74,0.8269848,0.1790239,0.20099106,0.2549158,750.0,-0.8180069,1.0,7500.0,0.45
75,0.8267477,0.17965408,0.20091633,0.2551148,760.0,-0.77719235,1.0,7600.0,0.47
76,0.8265628,0.18027115,0.20083277,0.2552909,770.0,-0.89038914,1.0,7700.0,0.37
77,0.8262225,0.18122125,0.20076351,0.2553638,780.0,-0.8902205,1.0,7800.0,0.45
78,0.8259526,0.18200345,0.20072462,0.2553561,790.0,-1.1421022,1.0,7900.0,0.39
79,0.8256505,0.18307412,0.20064612,0.2555188,800.0,-0.81272966,1.0,8000.0,0.34
80,0.8253388,0.18388462,0.20058271,0.25552973,810.0,-0.5670253,1.0,8100.0,0.41
81,0.82497483,0.18479116,0.20050947,0.25566545,820.0,-1.177413,0.5,8200.0,0.4
82,0.82471603,0.1854391,0.20044695,0.25572821,830.0,-2.6595435,0.9,8300.0,0.34
83,0.82441837,0.1863405,0.20036495,0.25603637,840.0,-0.83687496,1.0,8400.0,0.4
84,0.82420295,0.1869957,0.20032644,0.2560528,850.0,-1.6998266,0.8,8500.0,0.47
85,0.82398576,0.18762732,0.20026472,0.256161,860.0,-0.85396975,1.0,8600.0,0.39
86,0.8237409,0.1884268,0.20020504,0.25638255,870.0,-2.655051,0.6,8700.0,0.4
87,0.82355493,0.18908753,0.2001519,0.25640607,880.0,-1.6658943,1.0,8800.0,0.47
88,0.8232917,0.18969403,0.20008366,0.256378,890.0,-1.3424628,0.9,8900.0,0.49
89,0.8230748,0.19044133,0.20002352,0.25646836,900.0,-1.3715936,0.9,9000.0,0.44
90,0.8228164,0.19116317,0.19995047,0.25657058,910.0,-0.7156931,1.0,9100.0,0.38
91,0.82259065,0.19165736,0.19990328,0.2566479,920.0,-0.85038126,1.0,9200.0,0.4
92,0.8223483,0.19227052,0.19988848,0.25677526,930.0,-1.2770641,1.0,9300.0,0.39
93,0.8222034,0.19264232,0.199846,0.25680423,940.0,-0.70099026,1.0,9400.0,0.35
94,0.8219568,0.19333053,0.19980684,0.25687474,950.0,-1.4043844,1.0,9500.0,0.46
95,0.82181215,0.19362502,0.19976744,0.25680512,960.0,-1.1299897,1.0,9600.0,0.51
96,0.8216184,0.19430023,0.1997205,0.25679362,970.0,-0.95406437,1.0,9700.0,0.45
